
system.cpu.commit.membars,448992,95846,0,7276948,0,702662,673793,0,7276949,0,24,4400,20,618100,2011376,0,260,0,308,24,40,0,0,0,0,0,0,0,0,22,60,0,32,16,0,80,0,240,0,
system.cpu.commit.loads,12683613,7218750,5124,1656237,21512,10863192,11082879,1613,1656238,6435,198336,1042666,4557,4080170,12089681,931,7358172,4504,1668119,1268601,14298,2768,1393,2511,3585,1352,812,2414,1675,4401323,56173,377167,3168752,14755,1620,6920,4397,176034,3819,
system.cpu.commit.int_insts,86173824,63277790,48039,37738972,6369235,55344274,55867864,15230,37738983,63287,1786474,8804985,43807,78145196,59989268,6258707,45238531,44766,16681292,29738377,146931,23872,13062,20887,35260,13111,9250,21979,15550,40704419,555909,3480734,64660836,519162,15591,66778,43817,1542644,38147,
system.cpu.commit.function_calls,3053813,518103,475,98,648,76606,25493,154,99,600,169,62021,446,3708677,2012012,97,249944,469,187618,3216,1181,206,137,216,333,141,89,219,152,578664,4257,7565,217414,1721,160,542,431,14431,357,
system.cpu.commit.committedOps,86805614,64492182,49071,45016122,69415131,56099126,56569086,15485,45016133,64499,1786924,8898509,44537,78887091,62506610,69435981,51510630,46089,16824844,29772900,156007,24921,13465,21131,36164,13329,9449,22368,15958,40735079,564520,3519247,65543021,520882,15966,68453,44865,1555326,39176,
system.cpu.commit.committedInsts,32768000,32768000,23970,32768000,32768002,32768000,32768000,7659,32768000,32617,991641,4690491,22142,32768001,32768002,32768001,32768000,22782,8305174,15191789,75591,11447,6405,10564,18174,6661,4747,10890,7782,21336398,300729,2482813,32768000,286190,7895,32972,22142,806892,19705,
system.cpu.commit.bw_lim_events,3148772,3549687,2209,1655679,3508089,751630,1117553,622,1655637,2837,551,456311,1974,3832426,3525444,3315163,4582169,1953,864772,553344,7188,832,392,858,1534,471,272,963,601,3410719,29833,128960,1395738,21835,534,3123,1776,85297,1639,
system.cpu.commit.branches,14564842,7183938,5695,1656405,795379,4388445,4487805,1759,1656410,7201,198502,1080010,5020,14959541,4543212,781673,4271204,4971,2130751,3205594,15499,3046,1498,2529,3902,1480,990,2635,1814,4074380,60982,270832,5512301,63115,1709,8390,5000,181522,4169,
system.cpu.cc_regfile_writes,18214350,25279358,20682,23180068,3185339,22828993,22724111,6663,23180107,26755,794386,3952004,18630,16819075,10131207,3127140,24654685,19510,6886811,12949114,64945,10878,6309,7755,15439,5846,4523,10024,7195,12219818,241061,1935581,20241656,298684,7518,30579,18916,638685,16725,
system.cpu.cc_regfile_reads,28757846,39351214,37019,14905722,3999213,25364821,25374879,11285,14905811,47234,996361,6698537,32476,39444560,9663926,3910551,20291610,34910,13120296,16045228,113776,19915,10160,14661,27021,9770,7076,16948,11819,18433869,403003,1724342,31935865,319388,12062,53765,32977,1097714,29107,
system.cpu.branchPred.indirectHits,10699321,3761242,2562,1655776,791050,6550665,6113556,555,1655756,3522,197377,512034,2030,8159847,6550858,780946,3545422,2288,990327,3193441,7644,1553,638,600,2004,446,375,903,624,2006756,32710,121409,4318234,57411,700,4472,2512,84634,2212,
system.cpu.committedOps,86805614,64492182,49071,45016122,69415131,56099126,56569086,15485,45016133,64499,1786924,8898509,44537,78887091,62506610,69435981,51510630,46089,16824844,29772900,156007,24921,13465,21131,36164,13329,9449,22368,15958,40735079,564520,3519247,65543021,520882,15966,68453,44865,1555326,39176,
system.cpu.committedInsts,32768000,32768000,23970,32768000,32768002,32768000,32768000,7659,32768000,32617,991641,4690491,22142,32768001,32768002,32768001,32768000,22782,8305174,15191789,75591,11447,6405,10564,18174,6661,4747,10890,7782,21336398,300729,2482813,32768000,286190,7895,32972,22142,806892,19705,
system.cpu.commit.refs,19879710,11870169,10024,2312767,1589979,17129837,17044185,3053,2312769,13155,396652,1591429,9002,8042115,22666352,1567085,8602113,9225,2501220,4508577,31430,5333,2769,4327,7482,2684,1859,4298,3151,7194784,110848,696585,28086213,76158,3276,12931,9498,300884,8098,
system.cpu.commit.op_class_0::total,86805614,64492182,49071,45016122,69415131,56099126,56569086,15485,45016133,64499,1786924,8898509,44537,78887091,62506610,69435981,51510630,46089,16824844,29772900,156007,24921,13465,21131,36164,13329,9449,22368,15958,40735079,564520,3519247,65543021,520882,15966,68453,44865,1555326,39176,
system.cpu.commit.op_class_0::MemWrite,7196001,4651323,4319,656378,11793,6266493,5961154,1288,656379,5800,198162,535206,3853,3956665,10571447,946,871741,4089,767343,3189957,9703,2406,1222,1664,3417,1180,895,1732,1324,2792181,50804,319212,2414261,58459,1504,5489,4015,122356,3701,
