
system.cpu.commit.membars,0.0617,0.0132,0.0,1.0,0.0,0.0966,0.0926,0.0,1.0,0.0,0.0,0.0006,0.0,0.0849,0.2764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
system.cpu.commit.loads,1.0,0.5691,0.0004,0.1306,0.0017,0.8565,0.8738,0.0001,0.1306,0.0005,0.0156,0.0822,0.0004,0.3217,0.9532,0.0001,0.5801,0.0004,0.1315,0.1,0.0011,0.0002,0.0001,0.0002,0.0003,0.0001,0.0001,0.0002,0.0001,0.347,0.0044,0.0297,0.2498,0.0012,0.0001,0.0005,0.0003,0.0139,0.0003,
system.cpu.commit.int_insts,1.0,0.7343,0.0006,0.4379,0.0739,0.6422,0.6483,0.0002,0.4379,0.0007,0.0207,0.1022,0.0005,0.9068,0.6961,0.0726,0.525,0.0005,0.1936,0.3451,0.0017,0.0003,0.0002,0.0002,0.0004,0.0002,0.0001,0.0003,0.0002,0.4724,0.0065,0.0404,0.7504,0.006,0.0002,0.0008,0.0005,0.0179,0.0004,
system.cpu.commit.function_calls,0.8234,0.1397,0.0001,0.0,0.0002,0.0207,0.0069,0.0,0.0,0.0002,0.0,0.0167,0.0001,1.0,0.5425,0.0,0.0674,0.0001,0.0506,0.0009,0.0003,0.0001,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.156,0.0011,0.002,0.0586,0.0005,0.0,0.0001,0.0001,0.0039,0.0001,
system.cpu.commit.committedOps,1.0,0.7429,0.0006,0.5186,0.7997,0.6463,0.6517,0.0002,0.5186,0.0007,0.0206,0.1025,0.0005,0.9088,0.7201,0.7999,0.5934,0.0005,0.1938,0.343,0.0018,0.0003,0.0002,0.0002,0.0004,0.0002,0.0001,0.0003,0.0002,0.4693,0.0065,0.0405,0.7551,0.006,0.0002,0.0008,0.0005,0.0179,0.0005,
system.cpu.commit.committedInsts,1.0,1.0,0.0007,1.0,1.0,1.0,1.0,0.0002,1.0,0.001,0.0303,0.1431,0.0007,1.0,1.0,1.0,1.0,0.0007,0.2535,0.4636,0.0023,0.0003,0.0002,0.0003,0.0006,0.0002,0.0001,0.0003,0.0002,0.6511,0.0092,0.0758,1.0,0.0087,0.0002,0.001,0.0007,0.0246,0.0006,
system.cpu.commit.bw_lim_events,0.6872,0.7747,0.0005,0.3613,0.7656,0.164,0.2439,0.0001,0.3613,0.0006,0.0001,0.0996,0.0004,0.8364,0.7694,0.7235,1.0,0.0004,0.1887,0.1208,0.0016,0.0002,0.0001,0.0002,0.0003,0.0001,0.0001,0.0002,0.0001,0.7443,0.0065,0.0281,0.3046,0.0048,0.0001,0.0007,0.0004,0.0186,0.0004,
system.cpu.commit.branches,0.9736,0.4802,0.0004,0.1107,0.0532,0.2934,0.3,0.0001,0.1107,0.0005,0.0133,0.0722,0.0003,1.0,0.3037,0.0523,0.2855,0.0003,0.1424,0.2143,0.001,0.0002,0.0001,0.0002,0.0003,0.0001,0.0001,0.0002,0.0001,0.2724,0.0041,0.0181,0.3685,0.0042,0.0001,0.0006,0.0003,0.0121,0.0003,
system.cpu.cc_regfile_writes,0.7205,1.0,0.0008,0.917,0.126,0.9031,0.8989,0.0003,0.917,0.0011,0.0314,0.1563,0.0007,0.6653,0.4008,0.1237,0.9753,0.0008,0.2724,0.5122,0.0026,0.0004,0.0002,0.0003,0.0006,0.0002,0.0002,0.0004,0.0003,0.4834,0.0095,0.0766,0.8007,0.0118,0.0003,0.0012,0.0007,0.0253,0.0007,
system.cpu.cc_regfile_reads,0.7291,0.9976,0.0009,0.3779,0.1014,0.643,0.6433,0.0003,0.3779,0.0012,0.0253,0.1698,0.0008,1.0,0.245,0.0991,0.5144,0.0009,0.3326,0.4068,0.0029,0.0005,0.0003,0.0004,0.0007,0.0002,0.0002,0.0004,0.0003,0.4673,0.0102,0.0437,0.8096,0.0081,0.0003,0.0014,0.0008,0.0278,0.0007,
